Date,ExactDate,Weight,Pushups,Squats,VR,Bicycling
22,2022-06-08,188.8,0,0,30,0
21,2022-05-21,192.2,0,0,0,0
20,2022-05-20,191.8,100,30,0,0
19,2022-05-19,192,0,0,30,0
18,2022-05-18,193,0,0,0,0
17,2022-05-17,193,0,0,0,0
16,2022-05-16,194,0,0,0,0
15,2022-05-15,195,0,0,0,0
14,2022-05-14,193,0,0,0,0
13,2022-05-13,193.2,100,0,0,0
12,2022-05-12,193.4,030,030,030,0
11,2022-05-11,193.4,0,0,0,0
10,2022-05-10,193.6,150,030,030,0
09,2022-05-09,193.8,0,0,030,0
08,2022-05-08,193.8,100,0,0,030
07,2022-05-07,193.8,0,050,0,0
06,2022-05-06,193.4,0,050,030,0
05,2022-05-05,192.8,150,100,0,0
04,2022-05-04,192.8,0,0,0,0
03,2022-05-03,192.8,100,0,0,0
02,2022-05-02,193,0,0,030,0
01,2022-05-01,194,100,0,0,0
